freq_hz,gain_mag,gain_db
1.000000000000000000e+02,9.999998023919909329e-01,-1.716401527941902673e-06
1.023292990000000060e+02,9.999997936947838673e-01,-1.791944523929896473e-06
1.047128550000000047e+02,9.999997834360035975e-01,-1.881051176014098867e-06
1.071519310000000047e+02,9.999997736363120948e-01,-1.966170233744610393e-06
1.096478199999999958e+02,9.999997623173463301e-01,-2.064485544005025408e-06
1.122018450000000058e+02,9.999997515017611249e-01,-2.158428546305257921e-06
1.148153619999999933e+02,9.999997402132808633e-01,-2.256479064958331157e-06
1.174897550000000024e+02,9.999997274767464805e-01,-2.367107226422276756e-06
1.202264430000000033e+02,9.999997143181710291e-01,-2.481401192487697174e-06
1.230268769999999989e+02,9.999997007647926095e-01,-2.599124376092187401e-06
1.258925409999999943e+02,9.999996868451320742e-01,-2.720029048321735009e-06
1.288249549999999886e+02,9.999996725890564209e-01,-2.843855787777855574e-06
1.318256739999999922e+02,9.999996570278401053e-01,-2.979018840634018062e-06
1.348962879999999984e+02,9.999996411942289054e-01,-3.116547888346192748e-06
1.380384259999999870e+02,9.999996241225161953e-01,-3.264830955349836270e-06
1.412537539999999865e+02,9.999996058486073647e-01,-3.423556171819811498e-06
1.445439770000000124e+02,9.999995874101006432e-01,-3.583711070894849457e-06
1.479108390000000099e+02,9.999995678463694526e-01,-3.753639552698236631e-06
1.513561249999999916e+02,9.999995481986383439e-01,-3.924297652174174764e-06
1.548816620000000057e+02,9.999995265100783959e-01,-4.112682177446309773e-06
1.584893189999999947e+02,9.999995038258936431e-01,-4.309714598266400563e-06
1.621810099999999863e+02,9.999994811934176386e-01,-4.506297886841111882e-06
1.659586909999999875e+02,9.999994566622117942e-01,-4.719373346653083321e-06
1.698243650000000002e+02,9.999994302841886951e-01,-4.948490071672031085e-06
1.737800829999999905e+02,9.999994041136854861e-01,-5.175804306796718992e-06
1.778279410000000098e+02,9.999993762076145876e-01,-5.418193506671852147e-06
1.819700860000000091e+02,9.999993466255719943e-01,-5.675140027987494436e-06
1.862087139999999863e+02,9.999993154299353648e-01,-5.946102066206205298e-06
1.905460720000000094e+02,9.999992836860659429e-01,-6.221826005819054260e-06
1.949844600000000128e+02,9.999992494623858308e-01,-6.519089332301587593e-06
1.995262309999999957e+02,9.999992138305181522e-01,-6.828584040357674759e-06
2.041737939999999867e+02,9.999991768654822311e-01,-7.149658521188676709e-06
2.089296129999999891e+02,9.999991386458555453e-01,-7.481630260190109501e-06
2.137962090000000046e+02,9.999990972538803646e-01,-7.841156705631681129e-06
2.187761619999999994e+02,9.999990547756997250e-01,-8.210117835607898574e-06
