time_s,vin_v,vout_v
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000311e-10,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999990e-09,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999908e-09,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999330e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.549999999999999983e-08,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000004e-08,0.000000000000000000e+00,0.000000000000000000e+00
3.550000000000000025e-08,0.000000000000000000e+00,0.000000000000000000e+00
4.549999999999999715e-08,0.000000000000000000e+00,0.000000000000000000e+00
5.550000000000000066e-08,0.000000000000000000e+00,0.000000000000000000e+00
6.549999999999999757e-08,0.000000000000000000e+00,0.000000000000000000e+00
7.549999999999999447e-08,0.000000000000000000e+00,0.000000000000000000e+00
8.550000000000000460e-08,0.000000000000000000e+00,0.000000000000000000e+00
9.550000000000000150e-08,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999999547e-08,0.000000000000000000e+00,0.000000000000000000e+00
1.000003909999999977e-07,3.906250000000000217e-04,1.525878310000000080e-10
1.000006850000000054e-07,6.854654350000000075e-04,3.546906529999999749e-10
1.000012750000000016e-07,1.275146300000000107e-03,9.327578899999998990e-10
1.000024549999999939e-07,2.454508040000000051e-03,3.132061309999999877e-09
1.000048129999999978e-07,4.813231519999999937e-03,1.170333780000000078e-08
1.000095309999999996e-07,9.530678469999999750e-03,4.553651999999999859e-08
1.000189659999999996e-07,1.896557239999999839e-02,1.799650080000000130e-07
1.000378349999999959e-07,3.783536020000000111e-02,7.158673289999999631e-07
1.000755749999999958e-07,7.557493580000000655e-02,2.855828150000000089e-06
1.001510540000000052e-07,1.510540870000000035e-01,1.140817299999999978e-05
1.003020119999999976e-07,3.020123900000000194e-01,4.560094310000000167e-05
1.006039289999999993e-07,6.039289949999999685e-01,1.823259090000000000e-04
1.010000000000000044e-07,1.000000000000000000e+00,4.998257039999999714e-04
1.010603830000000060e-07,1.000000000000000000e+00,5.601751989999999596e-04
1.011811499999999994e-07,1.000000000000000000e+00,6.808596160000000537e-04
1.014226829999999959e-07,1.000000000000000000e+00,9.221993040000000435e-04
1.019057500000000058e-07,1.000000000000000000e+00,1.404703850000000058e-03
