V(G),I(V_VSRC_D),I(V_VSRC_G)
0.00000000e+00,-5.84328133e-12,6.08072732e-51
1.00000000e-02,-7.46758241e-12,1.67715986e-49
2.00000000e-02,-9.61452039e-12,2.21171280e-49
3.00000000e-02,-1.24520842e-11,2.94004118e-49
4.00000000e-02,-1.62021958e-11,3.97573751e-49
5.00000000e-02,-2.11580019e-11,5.38562089e-49
6.00000000e-02,-2.77066997e-11,7.22982854e-49
7.00000000e-02,-3.63596652e-11,2.29558441e-51
8.00000000e-02,-4.77922129e-11,8.42858273e-52
9.00000000e-02,-6.28960593e-11,-1.16763759e-51
1.00000000e-01,-8.28485346e-11,5.49716639e-51
1.10000000e-01,-1.09203875e-10,-7.70007258e-52
1.20000000e-01,-1.44013607e-10,-6.28790261e-51
1.30000000e-01,-1.89985268e-10,1.12444428e-51
1.40000000e-01,-2.50691598e-10,-3.89280337e-51
1.50000000e-01,-3.30846175e-10,9.92669429e-52
1.60000000e-01,-4.36666470e-10,3.68891871e-52
1.70000000e-01,-5.76351856e-10,-6.63255767e-52
1.80000000e-01,-7.60712681e-10,-1.91963023e-51
1.90000000e-01,-1.00399771e-09,-2.87070381e-51
2.00000000e-01,-1.32498187e-09,-5.33257590e-51
2.10000000e-01,-1.74839516e-09,3.40121001e-51
2.20000000e-01,-2.30679838e-09,-8.52867884e-52
2.30000000e-01,-3.04304307e-09,-2.47317882e-53
2.40000000e-01,-4.01349444e-09,6.90964215e-51
2.50000000e-01,-5.29224891e-09,9.32599142e-52
2.60000000e-01,-6.97664589e-09,-5.97641138e-52
2.70000000e-01,-9.19445956e-09,5.27688418e-51
2.80000000e-01,-1.21132664e-08,-5.23823370e-51
2.90000000e-01,-1.59526212e-08,-7.34928884e-51
3.00000000e-01,-2.09998473e-08,-7.32488165e-51
3.10000000e-01,-2.76304576e-08,-3.34472490e-51
3.20000000e-01,-3.63344837e-08,-4.19082286e-51
3.30000000e-01,-4.77503028e-08,1.23835955e-51
3.40000000e-01,-6.27079219e-08,-1.63392834e-51
3.50000000e-01,-8.22841088e-08,3.04250252e-51
3.60000000e-01,-1.07872249e-07,6.22046088e-51
3.70000000e-01,-1.41270337e-07,-7.43567817e-51
3.80000000e-01,-1.84791079e-07,-5.53165675e-51
3.90000000e-01,-2.41398639e-07,3.87705720e-52
4.00000000e-01,-3.14877074e-07,-6.80675508e-51
4.10000000e-01,-4.10035934e-07,-4.20250898e-51
4.20000000e-01,-5.32958707e-07,-4.80306915e-51
4.30000000e-01,-6.91299858e-07,4.66520719e-51
4.40000000e-01,-8.94635891e-07,1.43639960e-51
4.50000000e-01,-1.15487524e-06,-2.28672540e-51
4.60000000e-01,-1.48673079e-06,6.01988202e-51
4.70000000e-01,-1.90825727e-06,-5.41606717e-51
4.80000000e-01,-2.44145362e-06,7.51061557e-51
4.90000000e-01,-3.11292701e-06,-3.87857430e-51
5.00000000e-01,-3.95461021e-06,6.15093464e-51
5.10000000e-01,-5.00451604e-06,-8.02096766e-52
5.20000000e-01,-6.30750082e-06,7.68427533e-51
5.30000000e-01,-7.91599276e-06,1.33580709e-51
5.40000000e-01,-9.89062189e-06,4.89600524e-51
5.50000000e-01,-1.23006686e-05,7.01337828e-51
5.60000000e-01,-1.52242338e-05,-4.89110457e-51
5.70000000e-01,-1.87480339e-05,-7.63133115e-51
5.80000000e-01,-2.29667399e-05,9.69807446e-52
5.90000000e-01,-2.79818220e-05,-4.20668441e-51
6.00000000e-01,-3.38999138e-05,4.33681357e-51
6.10000000e-01,-4.08307740e-05,7.77384565e-52
6.20000000e-01,-4.88849743e-05,6.91989613e-51
6.30000000e-01,-5.81714755e-05,9.04987722e-52
