TIME,V(IN),V(OUT),V(VSS),V(VDD),V(A)
1.00000000e-09,1.50628314e+00,-7.83293774e-05,0.00000000e+00,3.30000000e+00,2.79751176e+00
1.06400000e-09,1.50668526e+00,-7.84942100e-05,0.00000000e+00,3.30000000e+00,2.79643524e+00
1.19200000e-09,1.50748949e+00,-7.94235062e-05,0.00000000e+00,3.30000000e+00,2.79426154e+00
1.44800000e-09,1.50909793e+00,-8.20068583e-05,0.00000000e+00,3.30000000e+00,2.78986167e+00
1.96000000e-09,1.51231473e+00,-8.60946459e-05,0.00000000e+00,3.30000000e+00,2.78077779e+00
2.98400000e-09,1.51874793e+00,-9.63804687e-05,0.00000000e+00,3.30000000e+00,2.76138725e+00
5.03200000e-09,1.53161172e+00,-1.21882922e-04,0.00000000e+00,3.30000000e+00,2.71620308e+00
7.08000000e-09,1.54447028e+00,-1.54137687e-04,0.00000000e+00,3.30000000e+00,2.65738928e+00
9.12800000e-09,1.55732148e+00,4.10418530e-06,0.00000000e+00,3.30000000e+00,2.56836614e+00
9.41811618e-09,1.55914124e+00,1.20611809e-04,0.00000000e+00,3.30000000e+00,2.55105901e+00
9.70823236e-09,1.56096080e+00,2.93309108e-04,0.00000000e+00,3.30000000e+00,2.53255405e+00
1.02884647e-08,1.56459932e+00,1.19597850e-03,0.00000000e+00,3.30000000e+00,2.48759284e+00
1.08686971e-08,1.56823697e+00,3.69948074e-03,0.00000000e+00,3.30000000e+00,2.43031117e+00
1.14489294e-08,1.57187372e+00,9.85419274e-03,0.00000000e+00,3.30000000e+00,2.35826293e+00
1.20291618e-08,1.57550951e+00,2.26034416e-02,0.00000000e+00,3.30000000e+00,2.27007207e+00
1.26093942e-08,1.57914430e+00,4.57870717e-02,0.00000000e+00,3.30000000e+00,2.16557332e+00
1.31896265e-08,1.58277804e+00,8.50457634e-02,0.00000000e+00,3.30000000e+00,2.04544407e+00
1.37698589e-08,1.58641068e+00,1.50824229e-01,0.00000000e+00,3.30000000e+00,1.91116117e+00
1.43500912e-08,1.59004217e+00,2.68052258e-01,0.00000000e+00,3.30000000e+00,1.76554895e+00
1.44130486e-08,1.59043612e+00,2.86376724e-01,0.00000000e+00,3.30000000e+00,1.74917927e+00
1.44760060e-08,1.59083007e+00,3.06108651e-01,0.00000000e+00,3.30000000e+00,1.73282238e+00
1.46019208e-08,1.59161792e+00,3.52460322e-01,0.00000000e+00,3.30000000e+00,1.70005492e+00
1.47278355e-08,1.59240571e+00,4.10476306e-01,0.00000000e+00,3.30000000e+00,1.66718614e+00
1.48537503e-08,1.59319344e+00,4.88709090e-01,0.00000000e+00,3.30000000e+00,1.63436593e+00
1.49796651e-08,1.59398111e+00,6.10798082e-01,0.00000000e+00,3.30000000e+00,1.60203584e+00
1.49952426e-08,1.59407855e+00,6.31590485e-01,0.00000000e+00,3.30000000e+00,1.59815874e+00
1.50108201e-08,1.59417600e+00,6.53641042e-01,0.00000000e+00,3.30000000e+00,1.59431278e+00
1.50419751e-08,1.59437088e+00,7.05380244e-01,0.00000000e+00,3.30000000e+00,1.58695067e+00
1.50731301e-08,1.59456575e+00,7.68558744e-01,0.00000000e+00,3.30000000e+00,1.58011363e+00
1.51042851e-08,1.59476063e+00,8.44310135e-01,0.00000000e+00,3.30000000e+00,1.57389245e+00
1.51354401e-08,1.59495550e+00,9.32606088e-01,0.00000000e+00,3.30000000e+00,1.56831140e+00
1.51665951e-08,1.59515036e+00,1.03241866e+00,0.00000000e+00,3.30000000e+00,1.56333418e+00
1.51977501e-08,1.59534523e+00,1.14217279e+00,0.00000000e+00,3.30000000e+00,1.55889177e+00
1.52289051e-08,1.59554009e+00,1.26008730e+00,0.00000000e+00,3.30000000e+00,1.55490635e+00
1.52600602e-08,1.59573494e+00,1.38436415e+00,0.00000000e+00,3.30000000e+00,1.55130262e+00
1.53223702e-08,1.59612464e+00,1.64568164e+00,0.00000000e+00,3.30000000e+00,1.54482921e+00
1.54469902e-08,1.59690400e+00,2.19743771e+00,0.00000000e+00,3.30000000e+00,1.53169522e+00
1.55010112e-08,1.59724182e+00,2.42953003e+00,0.00000000e+00,3.30000000e+00,1.52508125e+00
1.55550322e-08,1.59757963e+00,2.61530578e+00,0.00000000e+00,3.30000000e+00,1.51792587e+00
1.55988761e-08,1.59785379e+00,2.70381701e+00,0.00000000e+00,3.30000000e+00,1.51043842e+00
1.56346365e-08,1.59807740e+00,2.74719917e+00,0.00000000e+00,3.30000000e+00,1.50255742e+00
1.56703969e-08,1.59830100e+00,2.77943947e+00,0.00000000e+00,3.30000000e+00,1.49381934e+00
1.57061574e-08,1.59852460e+00,2.80623445e+00,0.00000000e+00,3.30000000e+00,1.48467367e+00
1.57776782e-08,1.59897178e+00,2.85143396e+00,0.00000000e+00,3.30000000e+00,1.46580670e+00
1.58491990e-08,1.59941894e+00,2.88967817e+00,0.00000000e+00,3.30000000e+00,1.44635245e+00
1.59922407e-08,1.60031321e+00,2.95379661e+00,0.00000000e+00,3.30000000e+00,1.40597519e+00
1.62783241e-08,1.60210149e+00,3.05211836e+00,0.00000000e+00,3.30000000e+00,1.31970859e+00
1.65644075e-08,1.60388945e+00,3.12609103e+00,0.00000000e+00,3.30000000e+00,1.22726899e+00
1.68504909e-08,1.60567707e+00,3.18344346e+00,0.00000000e+00,3.30000000e+00,1.13040845e+00
1.71365743e-08,1.60746435e+00,3.22728475e+00,0.00000000e+00,3.30000000e+00,1.03102503e+00
1.74226577e-08,1.60925128e+00,3.25919096e+00,0.00000000e+00,3.30000000e+00,9.31651237e-01
1.77087410e-08,1.61103785e+00,3.27989143e+00,0.00000000e+00,3.30000000e+00,8.36009975e-01
1.79948244e-08,1.61282407e+00,3.29099514e+00,0.00000000e+00,3.30000000e+00,7.50451698e-01
1.82809078e-08,1.61460993e+00,3.29584224e+00,0.00000000e+00,3.30000000e+00,6.83782779e-01
1.85669912e-08,1.61639541e+00,3.29791746e+00,0.00000000e+00,3.30000000e+00,6.40497620e-01
1.88530746e-08,1.61818052e+00,3.29881464e+00,0.00000000e+00,3.30000000e+00,6.15402439e-01
1.91391580e-08,1.61996525e+00,3.29919257e+00,0.00000000e+00,3.30000000e+00,5.99896072e-01
1.97113247e-08,1.62353353e+00,3.29946870e+00,0.00000000e+00,3.30000000e+00,5.78325559e-01
2.02834915e-08,1.62710022e+00,3.29956435e+00,0.00000000e+00,3.30000000e+00,5.61193796e-01
2.14278250e-08,1.63422862e+00,3.29968818e+00,0.00000000e+00,3.30000000e+00,5.31393367e-01
2.25721586e-08,1.64135008e+00,3.29974990e+00,0.00000000e+00,3.30000000e+00,5.06149785e-01
2.48608256e-08,1.65557071e+00,3.29981979e+00,0.00000000e+00,3.30000000e+00,4.63963844e-01
2.94381598e-08,1.68391254e+00,3.29987631e+00,0.00000000e+00,3.30000000e+00,3.99479352e-01
3.40154939e-08,1.71210225e+00,3.29990216e+00,0.00000000e+00,3.30000000e+00,3.50088169e-01
3.85928280e-08,1.74011653e+00,3.29992132e+00,0.00000000e+00,3.30000000e+00,3.09915342e-01
4.77474963e-08,1.79552629e+00,3.29994288e+00,0.00000000e+00,3.30000000e+00,2.47071673e-01
6.60568329e-08,1.90323323e+00,3.29996657e+00,0.00000000e+00,3.30000000e+00,1.61570139e-01
8.43661694e-08,2.00560950e+00,3.29997576e+00,0.00000000e+00,3.30000000e+00,1.05963464e-01
1.02675506e-07,2.10130170e+00,3.29998546e+00,0.00000000e+00,3.30000000e+00,6.81279752e-02
1.20984843e-07,2.18904479e+00,3.29998829e+00,0.00000000e+00,3.30000000e+00,4.22869456e-02
1.39294179e-07,2.26767882e+00,3.29999425e+00,0.00000000e+00,3.30000000e+00,2.50235534e-02
1.57603516e-07,2.33616427e+00,3.29999471e+00,0.00000000e+00,3.30000000e+00,1.40655125e-02
1.75912852e-07,2.39359577e+00,3.29999880e+00,0.00000000e+00,3.30000000e+00,7.61971794e-03
1.94222189e-07,2.43921408e+00,3.29999775e+00,0.00000000e+00,3.30000000e+00,4.18340617e-03
2.12531525e-07,2.47241614e+00,3.30000056e+00,0.00000000e+00,3.30000000e+00,2.50252647e-03
2.30840862e-07,2.49276302e+00,3.29999871e+00,0.00000000e+00,3.30000000e+00,1.76969459e-03
2.49150198e-07,2.49998575e+00,3.30000106e+00,0.00000000e+00,3.30000000e+00,1.54605997e-03
2.67459535e-07,2.49398882e+00,3.29999912e+00,0.00000000e+00,3.30000000e+00,1.71878412e-03
2.85768871e-07,2.47485154e+00,3.30000154e+00,0.00000000e+00,3.30000000e+00,2.37701908e-03
3.04078208e-07,2.44282688e+00,3.30000001e+00,0.00000000e+00,3.30000000e+00,3.92579925e-03
3.22387545e-07,2.39833820e+00,3.30000320e+00,0.00000000e+00,3.30000000e+00,7.13105219e-03
3.40696881e-07,2.34197365e+00,3.30000291e+00,0.00000000e+00,3.30000000e+00,1.32099932e-02
3.59006218e-07,2.27447835e+00,3.30000759e+00,0.00000000e+00,3.30000000e+00,2.36436275e-02
3.77315554e-07,2.19674457e+00,3.30000912e+00,0.00000000e+00,3.30000000e+00,4.01900365e-02
3.95624891e-07,2.10979995e+00,3.30001612e+00,0.00000000e+00,3.30000000e+00,6.50494559e-02
4.13934227e-07,2.01479387e+00,3.30002114e+00,0.00000000e+00,3.30000000e+00,1.01480230e-01
4.32243564e-07,1.91298231e+00,3.30003417e+00,0.00000000e+00,3.30000000e+00,1.54903197e-01
4.50552900e-07,1.80571119e+00,3.30005174e+00,0.00000000e+00,3.30000000e+00,2.36381178e-01
4.68862237e-07,1.69439862e+00,3.30010152e+00,0.00000000e+00,3.30000000e+00,3.77507450e-01
4.74201628e-07,1.66138704e+00,3.30012574e+00,0.00000000e+00,3.30000000e+00,4.45358023e-01
4.76814196e-07,1.64516595e+00,3.30015474e+00,0.00000000e+00,3.30000000e+00,4.88502565e-01
4.79426765e-07,1.62890576e+00,3.30019572e+00,0.00000000e+00,3.30000000e+00,5.43292891e-01
4.82039333e-07,1.61261082e+00,3.29989478e+00,0.00000000e+00,3.30000000e+00,6.24187631e-01
4.82411767e-07,1.61028533e+00,3.29975475e+00,0.00000000e+00,3.30000000e+00,6.39475644e-01
4.83156633e-07,1.60563255e+00,3.29919903e+00,0.00000000e+00,3.30000000e+00,6.74894486e-01
4.83901500e-07,1.60097746e+00,3.29763489e+00,0.00000000e+00,3.30000000e+00,7.21173965e-01
4.84646367e-07,1.59632016e+00,3.29345539e+00,0.00000000e+00,3.30000000e+00,7.82216267e-01
4.85391234e-07,1.59166075e+00,3.28291981e+00,0.00000000e+00,3.30000000e+00,8.63161013e-01
4.86136100e-07,1.58699933e+00,3.25954782e+00,0.00000000e+00,3.30000000e+00,9.67922920e-01
4.86880967e-07,1.58233600e+00,3.21393263e+00,0.00000000e+00,3.30000000e+00,1.09797565e+00
4.87625834e-07,1.57767087e+00,3.13090008e+00,0.00000000e+00,3.30000000e+00,1.25133733e+00
4.88296214e-07,1.57347080e+00,2.99514337e+00,0.00000000e+00,3.30000000e+00,1.40409767e+00
4.88363341e-07,1.57305016e+00,2.97573708e+00,0.00000000e+00,3.30000000e+00,1.41997787e+00
4.88430468e-07,1.57262951e+00,2.95493645e+00,0.00000000e+00,3.30000000e+00,1.43583402e+00
4.88564722e-07,1.57178817e+00,2.90671905e+00,0.00000000e+00,3.30000000e+00,1.46756225e+00
4.88698975e-07,1.57094678e+00,2.84689704e+00,0.00000000e+00,3.30000000e+00,1.49949831e+00
4.88833229e-07,1.57010534e+00,2.76578414e+00,0.00000000e+00,3.30000000e+00,1.53181327e+00
4.88967483e-07,1.56926385e+00,2.63232044e+00,0.00000000e+00,3.30000000e+00,1.56509919e+00
