FREQ,Re(V(VBN)),Im(V(VBN)),Re(V(XOTA:TAIL)),Im(V(XOTA:TAIL)),Re(V(XOTA:D)),Im(V(XOTA:D)),Re(V(VSS)),Im(V(VSS)),Re(V(VDD)),Im(V(VDD)),Re(V(OUT)),Im(V(OUT)),Re(V(IN)),Im(V(IN))
1.00000000e+00,6.98220588e-20,5.17015620e-11,7.73569727e-01,-4.09343157e-10,-9.20948097e-03,-4.31265158e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-5.73017026e-10,1.00000000e+00,0.00000000e+00
1.02329299e+00,7.31126711e-20,5.29058461e-11,7.73569727e-01,-4.18877984e-10,-9.20948097e-03,-4.41310614e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-5.86364307e-10,1.00000000e+00,0.00000000e+00
1.04712855e+00,7.65583651e-20,5.41381815e-11,7.73569727e-01,-4.28634906e-10,-9.20948097e-03,-4.51590059e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-6.00022486e-10,1.00000000e+00,0.00000000e+00
1.07151931e+00,8.01664497e-20,5.53992218e-11,7.73569727e-01,-4.38619096e-10,-9.20948097e-03,-4.62108943e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-6.13998805e-10,1.00000000e+00,0.00000000e+00
1.09647820e+00,8.39445781e-20,5.66896354e-11,7.73569727e-01,-4.48835847e-10,-9.20948097e-03,-4.72872843e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-6.28300675e-10,1.00000000e+00,0.00000000e+00
1.12201845e+00,8.79007642e-20,5.80101066e-11,7.73569727e-01,-4.59290577e-10,-9.20948097e-03,-4.83887466e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-6.42935678e-10,1.00000000e+00,0.00000000e+00
1.14815362e+00,9.20433996e-20,5.93613356e-11,7.73569727e-01,-4.69988829e-10,-9.20948097e-03,-4.95158653e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-6.57911573e-10,1.00000000e+00,0.00000000e+00
1.17489755e+00,9.63812714e-20,6.07440387e-11,7.73569727e-01,-4.80936275e-10,-9.20948097e-03,-5.06692380e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-6.73236303e-10,1.00000000e+00,0.00000000e+00
1.20226443e+00,1.00923581e-19,6.21589492e-11,7.73569727e-01,-4.92138720e-10,-9.20948097e-03,-5.18494762e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-6.88917990e-10,1.00000000e+00,0.00000000e+00
1.23026877e+00,1.05679963e-19,6.36068171e-11,7.73569727e-01,-5.03602103e-10,-9.20948097e-03,-5.30572056e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-7.04964952e-10,1.00000000e+00,0.00000000e+00
1.25892541e+00,1.10660506e-19,6.50884102e-11,7.73569727e-01,-5.15332503e-10,-9.20948097e-03,-5.42930667e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-7.21385695e-10,1.00000000e+00,0.00000000e+00
1.28824955e+00,1.15875775e-19,6.66045140e-11,7.73569727e-01,-5.27336139e-10,-9.20948097e-03,-5.55577147e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-7.38188927e-10,1.00000000e+00,0.00000000e+00
1.31825674e+00,1.21336832e-19,6.81559325e-11,7.73569727e-01,-5.39619376e-10,-9.20948097e-03,-5.68518201e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-7.55383556e-10,1.00000000e+00,0.00000000e+00
1.34896288e+00,1.27055260e-19,6.97434881e-11,7.73569727e-01,-5.52188726e-10,-9.20948097e-03,-5.81760691e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-7.72978699e-10,1.00000000e+00,0.00000000e+00
1.38038426e+00,1.33043190e-19,7.13680226e-11,7.73569727e-01,-5.65050853e-10,-9.20948097e-03,-5.95311638e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-7.90983686e-10,1.00000000e+00,0.00000000e+00
1.41253754e+00,1.39313323e-19,7.30303974e-11,7.73569727e-01,-5.78212579e-10,-9.20948097e-03,-6.09178228e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-8.09408063e-10,1.00000000e+00,0.00000000e+00
1.44543977e+00,1.45878957e-19,7.47314939e-11,7.73569727e-01,-5.91680880e-10,-9.20948097e-03,-6.23367811e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-8.28261598e-10,1.00000000e+00,0.00000000e+00
1.47910839e+00,1.52754021e-19,7.64722140e-11,7.73569727e-01,-6.05462898e-10,-9.20948097e-03,-6.37887913e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-8.47554289e-10,1.00000000e+00,0.00000000e+00
1.51356125e+00,1.59953096e-19,7.82534807e-11,7.73569727e-01,-6.19565940e-10,-9.20948097e-03,-6.52746231e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-8.67296365e-10,1.00000000e+00,0.00000000e+00
1.54881662e+00,1.67491453e-19,8.00762384e-11,7.73569727e-01,-6.33997485e-10,-9.20948097e-03,-6.67950644e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-8.87498292e-10,1.00000000e+00,0.00000000e+00
1.58489319e+00,1.75385082e-19,8.19414536e-11,7.73569727e-01,-6.48765184e-10,-9.20948097e-03,-6.83509213e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-9.08170783e-10,1.00000000e+00,0.00000000e+00
1.62181010e+00,1.83650727e-19,8.38501153e-11,7.73569727e-01,-6.63876866e-10,-9.20948097e-03,-6.99430188e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-9.29324798e-10,1.00000000e+00,0.00000000e+00
1.65958691e+00,1.92305919e-19,8.58032353e-11,7.73569727e-01,-6.79340545e-10,-9.20948097e-03,-7.15722010e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-9.50971554e-10,1.00000000e+00,0.00000000e+00
1.69824365e+00,2.01369017e-19,8.78018494e-11,7.73569727e-01,-6.95164419e-10,-9.20948097e-03,-7.32393317e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-9.73122527e-10,1.00000000e+00,0.00000000e+00
1.73780083e+00,2.10859247e-19,8.98470172e-11,7.73569727e-01,-7.11356878e-10,-9.20948097e-03,-7.49452949e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-9.95789462e-10,1.00000000e+00,0.00000000e+00
1.77827941e+00,2.20796737e-19,9.19398231e-11,7.73569727e-01,-7.27926509e-10,-9.20948097e-03,-7.66909951e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.01898438e-09,1.00000000e+00,0.00000000e+00
1.81970086e+00,2.31202567e-19,9.40813767e-11,7.73569727e-01,-7.44882095e-10,-9.20948097e-03,-7.84773579e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.04271957e-09,1.00000000e+00,0.00000000e+00
1.86208714e+00,2.42098808e-19,9.62728135e-11,7.73569727e-01,-7.62232628e-10,-9.20948097e-03,-8.03053304e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.06700763e-09,1.00000000e+00,0.00000000e+00
1.90546072e+00,2.53508573e-19,9.85152954e-11,7.73569727e-01,-7.79987307e-10,-9.20948097e-03,-8.21758818e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.09186143e-09,1.00000000e+00,0.00000000e+00
1.94984460e+00,2.65456064e-19,1.00810011e-10,7.73569727e-01,-7.98155545e-10,-9.20948097e-03,-8.40900040e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.11729415e-09,1.00000000e+00,0.00000000e+00
1.99526231e+00,2.77966623e-19,1.03158178e-10,7.73569727e-01,-8.16746976e-10,-9.20948097e-03,-8.60487118e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.14331928e-09,1.00000000e+00,0.00000000e+00
2.04173794e+00,2.91066786e-19,1.05561041e-10,7.73569727e-01,-8.35771457e-10,-9.20948097e-03,-8.80530438e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.16995060e-09,1.00000000e+00,0.00000000e+00
2.08929613e+00,3.04784341e-19,1.08019873e-10,7.73569727e-01,-8.55239075e-10,-9.20948097e-03,-9.01040626e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.19720225e-09,1.00000000e+00,0.00000000e+00
2.13796209e+00,3.19148385e-19,1.10535979e-10,7.73569727e-01,-8.75160152e-10,-9.20948097e-03,-9.22028559e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.22508868e-09,1.00000000e+00,0.00000000e+00
2.18776162e+00,3.34189385e-19,1.13110693e-10,7.73569727e-01,-8.95545251e-10,-9.20948097e-03,-9.43505363e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.25362466e-09,1.00000000e+00,0.00000000e+00
2.23872114e+00,3.49939245e-19,1.15745380e-10,7.73569727e-01,-9.16405180e-10,-9.20948097e-03,-9.65482426e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.28282533e-09,1.00000000e+00,0.00000000e+00
2.29086765e+00,3.66431374e-19,1.18441436e-10,7.73569727e-01,-9.37750998e-10,-9.20948097e-03,-9.87971401e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.31270617e-09,1.00000000e+00,0.00000000e+00
2.34422882e+00,3.83700752e-19,1.21200291e-10,7.73569727e-01,-9.59594025e-10,-9.20948097e-03,-1.01098421e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-1.34328302e-09,1.00000000e+00,0.00000000e+00
